point_index,tx,ty,rx,ry,rz,centroid_x,centroid_y,fwhm_x,fwhm_y,peak,focus_x,focus_y,astig,theta,duration_s
44,-0.8751771822571754,0.48634737357497215,-0.011382680758833884,-0.039193795248866084,0.004486287198960784,-1.3303952129981378,0.9717027935671264,0.04698702388881416,0.027388422617264836,43.96921239525247,-124.58256029684603,-117.47062461348177,7.111935683364251,0.006839301513938967,4.963507652282715
45,0.5944096520543098,-0.49732906743884087,0.014715897943824524,0.0022463069297373323,-0.03870659871026874,0.07930537141577101,-1.012725215121086,0.04892468832665409,0.029745533642917394,38.90424764216791,-219.2022263450835,-31.838796124510424,187.36343022057306,0.01697616414615144,4.881826162338257
46,0.44863637909293175,0.9203682374209166,-0.02617226867005229,-0.01878504911437631,-0.015068694576621057,-0.6332833196615004,1.8176464170854354,0.050461004294037624,0.032050355041121206,35.04188565598828,-243.77447948876522,-10.338074623788941,233.43640486497628,-0.028749372863156708,5.398453950881958
47,-0.042868781834840775,-0.9074244145303965,0.04826616700738669,0.0318371782079339,0.03084950959309936,1.0737219277939902,-1.7905395732010634,0.04709671576868304,0.027076461624238612,44.45533876404102,-87.60049474335189,-153.03030303030306,-65.42980828695117,-0.002877900576710779,5.439451217651367
48,-0.07671785168349743,0.9610999580472708,-0.013563399109989403,-0.029373018443584444,-0.02609328776597977,-0.9966295030210452,1.8942776104982177,0.0492101612465821,0.031503811282179425,36.477276376253855,-195.47515976087413,-47.17584003298296,148.29931972789117,-0.042374198570774624,5.319630861282349
49,0.4199733901768923,-0.9603740144520998,0.01024035103619099,0.016662304569035766,0.016660478990525,0.5606250338238862,-1.9005173222213092,0.04844176818685176,0.03089079828174512,37.693007017596706,-168.51164708307573,-76.38631210059788,92.12533498247785,0.027470992336571243,4.7940449714660645
50,0.505638962611556,0.37925194576382637,-0.048674643971025944,-0.012281926441937686,0.04341310430318117,-0.4097503006312173,0.7806020579945148,0.05014268530603161,0.031357038620965845,36.27809732683019,-234.55988455988455,-16.481137909709332,218.07874665017522,0.03845479401564944,5.003454208374023
51,-0.9738946948200464,-0.3858499564230442,0.026593966502696284,0.04957159291952849,-0.002847039606422186,1.6665911444654007,-0.7744944640845998,0.054697150553157096,0.03407964151250647,30.386909112019023,42.29024943310651,-280.83900226757373,-323.12925170068024,0.013370907192326253,5.2407214641571045
52,-0.7256364561617374,0.05321524478495121,0.015713867358863348,0.025170956086367366,-0.021965578943490983,0.8444422328331647,0.09229217253309423,0.049532974033108246,0.02994507731394303,38.417852799104075,-25.695732838590004,-209.98763141620285,-184.29189857761284,0.03089062909338436,5.271322727203369
53,0.7573838345706463,-0.05588081292808056,-0.006527378689497709,-0.01324177850037813,0.0313747356645763,-0.44118788818037935,-0.09112908747096866,0.0517489751594971,0.03246847723252074,33.89218353968373,-268.5528756957329,15.862708719851582,284.4155844155845,0.018207204576424108,4.61987566947937
54,0.16822852939367294,0.6035691425204277,0.0461330390535295,0.007887233793735501,0.00852674189954996,0.26197045675675046,1.2064530022624933,0.05025292749472829,0.03790428556313585,29.672386080543642,-158.71985157699447,-91.86765615337045,66.85219542362402,-0.037369948036886314,5.268780469894409
55,-0.3249760791659355,-0.5989107042551041,-0.03069807626307011,-0.04595767362043262,-0.0491195104084909,-1.55821259698932,-1.2217814973084897,0.05089446519836886,0.035699836655812354,31.031566028494787,-199.96907854050718,-42.681921253349884,157.2871572871573,0.08812564477063711,5.403640270233154
56,-0.4238577540963888,0.31210683286190033,0.04030281193554401,-0.024040035624057057,0.02211739355698228,-0.8166845553324041,0.6350852318063597,0.04851456690917674,0.03300059760359739,35.34956720308586,-155.87507730364877,-97.55720470006185,58.31787260358692,-0.002352611558670503,5.174526929855347
57,0.08058683015406132,-0.29772258549928665,-0.03735836008563638,0.035981421731412416,-0.031622656248509885,1.213199213298629,-0.613905553524395,0.04867045035788254,0.0319494725855448,36.18853569237093,-94.71243042671615,-143.0735930735931,-48.361162646876934,-0.027180838617651304,4.828648567199707
